EVTNAME91;;;;;;;;;;;;;x
british_colony_purchase_title;British Colony Purchase;;;;Comprar colonias británicas;;;;;;;;x
mossi_isolation_title;Mossi isolation;;;;Aislamiento Mossi;;;;;;;;x
mossi_isolation_desc;The oldest of the actual kingdoms in the region.\n By the 18th century, the Mossi kingdoms had increased significantly in terms of economic and military power in the region. Although there were a number of jihad states in the region trying to forcibly spread Islam, namely the Massina Empire and the Sokoto Caliphate, the Mossi kingdoms largely retained their traditional religious and ritual practices.;;;;El más antiguo de los reinos actuales de la región.\n En el siglo XVIII, los reinos Mossi han incrementado significantemente en términos económicos y militares.\n Al tiempo que habían un numero de estados del Jihad en la región intentando expandir el Islam de manera forzada, por ejemplo el Imperio Massina y el Califato de Sokoto, los reinos Mossi han mantenido sus tradiciones religiosas y practicas rituales intactas.;;;;;;;;x
horn_imperialism_title;Horn of Africa empires;;;;Imperio del Cuerno de Africa;;;;;;;;x
horn_imperialism_desc;Our belief is to unify all Somali people under our flag and create a great empire in the Horn of Africa. We now have enough power to begin this holy mission.;;;;Nuestro objetivo es unificar a todos los pueblos somalíes bajo nuestra bandera y crear un gran imperio en el cuerno de África. Nosotros ahora teneos suficiente poder para comenzar esta sagrada misión.;;;;;;;;x
somalian_greatness_title;Somalian greatness;;;;Grandeza Somalí;;;;;;;;x
somalian_greatness_desc;It is time to unify all Somali peoples, tribes and people under our flag. The great Somalia.;;;;Es hora de unificar a todos los pueblos y tribus somalíes bajo nuestra bandera. La gran Somalia;;;;;;;;x
join_arab_union_title;Join Arab Union;;;;Entrar a la Union Arabe;;;;;;;;x
join_arab_union_desc;Due to the great foreign influence over the region, the Arab nations need to unite to repel those Westerners.;;;;Debido a la gran influencia extranjera sobre la región, las naciones árabes necesitan unirse para repeler a esos occidentales.;;;;;;;;x
western_exploration_arab_title;Western exploration in Arabia;;;;Exploración occidental en Arabia;;;;;;;;x
western_exploration_arab_desc;The Great Powers are pressuring us to allow them to explore our region, even though we don't like their culture, we don't have the power to oppose it.;;;;Las grandes potencias están presionándonos para permitirles explorar nuestra región, incluso cuando no nos agrada su cultura, no tenemos el poder para oponernos.;;;;;;;;x
arab_identity_title;Arab identity;;;;Identidad arabe;;;;;;;;x
arab_identity_desc;The cradle of humanity was in our land, the first kingdoms and empires were in Arab land. We cannot allow ourselves to forget that pride, we have to reinforce our culture.;;;;La cuna de la humanidad fue en nuestra tierra, los primeros reinos e imperios fueron en tierra árabe. No podemos permitirnos olvidar ese orgullo, tenemos que reforzar nuestra cultura.;;;;;;;;x
oil_fever_title;Oil fever in Arabia;;;;Fiebre del petroleo en Arabia;;;;;;;;x
egyptian_independence_title;Egyptian independence;;;;Independencia egipcia;;;;;;;;x
egyptian_independence_desc;The history of Egypt under the Muhammad Ali dynasty, 1805-1853, spanned the later period of Ottoman Egypt, the Khedivate of Egypt under British occupation, and the nominally independent Sultanate of Egypt and Kingdom of Egypt, ending with the Revolution of 1952 and the formation of the Republic of Egypt.;;;;La historia de Egipto bajo la dinastía de Muhammad Ali, 1805-1853, caracterizo al periodo final del Egipto otomano, la ocupación británica, y finalmente la independencia del Sultanato de Egipto y el Reino de Egipto, que finalmente terminó en la revolución de 1952 y la formación de la Republica de Egipto.;;;;;;;;x
demand_independence_title;Demand independence;;;;Exigir independencia;;;;;;;;x
demand_independence_desc;The relations between our nation and the emperor are not good, our people seek independence and tension rises, our army is ready to start the battle, but a war will be devastating, it is best to declare independence diplomatically and avoid deaths in vain.;;;;Las relaciones entre nuestra nación y el emperador no son buenas, nuestra gente busca la independencia y las tensiones se elevan, nuestro ejército está listo para la batalla, pero la guerra sería devastadora, por lo tanto lo mejor será declarar la independencia de manera diplomática para evitar muertes en vano.;;;;;;;;x
oil_fever_desc;Our oil fields are numerous and large. Before foreigners take advantage of our land, it is better to invest and obtain the benefit that belongs to us by right.;;;;Nuestros campos petroleros son grandes y numerosos. Antes de que los extranjeros busquen tomar ventaja de nuestra tierra, es mejor que invirtamos y obtengamos el beneficio que nos pertenece por derecho.;;;;;;;;x
blood_river_convention_title;Blood River convention;;;;Convención del Blood River;;;;;;;;x
blood_river_convention_desc;Following the example of the Sand River and Orange River conventions, our nation must make a treaty to obtain international recognition as well as rapprochement with the other Boer nations.;;;;Siguiendo el ejemplo de las convenciones del Sand River y el Orange River, nuestra nación debe hacer un tratado para obtener reconocimiento internacional y también el re-acercamiento con las otras naciones Boer.;;;;;;;;x
boer_alliance_title;Boer Alliance;;;;Alianza Boer;;;;;;;;x
boer_alliance_desc;With the growing threat of the Zulu Empire, the militarily weaker Boer nations must unite to face war together.;;;;Con la creciente amenaza del Imperio Zulú, las militarmente débiles naciones Boer necesitan unirse para enfrentar la guerra juntos.;;;;;;;;x
last_boer_title;The Last Boer;;;;El ultimo Boer;;;;;;;;x
last_boer_desc;With the recent independence of Rhodesia, this becomes the last of the Boer nations, therefore, making a rapprochement with the remaining nations should be a priority.;;;;Con la reciente independencia de Rodesia, esta se convierte en la última de las naciones Boer, así mismo, hacer un acercamiento con las restantes naciones Boer debe ser una prioridad.;;;;;;;;x
zulu_traditions_title;Zulu Tradition;;;;Tradiciones Zulú;;;;;;;;x
zulu_traditions_desc;The traditions of our people must never be forgotten, even with the recent influence of the European Powers, Zulu will remain alive.;;;;Las tradiciones de nuestro pueblo nunca deben ser olvidadas, incluso con la reciente influencia de las potencias europeas, Zulú debe seguir viva.;;;;;;;;x
south_african_farmlands_title;South African farmlands;;;;Africultura Sudafricana;;;;;;;;x
south_african_farmlands_desc;The lands of the South African region are very fertile and provide great potential for settlement and agriculture.\n Taking advantage of regional lands is undoubtedly an option that must be taken;;;;Las tierras de Sudáfrica son muy fértiles y proveen gran potencial para sentamientos y agricultura.\n Tomar ventaja de las tierras regionales es sin duda una opción que debe ser tomada.;;;;;;;;x
the_apart_title;The apartheid;;;;El Apartheid;;;;;;;;x
the_apart_desc;Apartheid  was a system of institutionalised racial segregation that existed in South Africa and South West Africa from 1948 until the early 1990s.\n Apartheid was characterised by an authoritarian political culture based on baasskap, or white supremacy, which ensured that South Africa was dominated politically, socially, and economically by the nation's minority white population.\n Taking this decision will give us benefits with the European Powers but our people could rebel.;;;;El apartheid fue un sistema de segregación racial institucionalizado y que existió en Sudáfrica y el Sudoeste africano desde 1948 hasta la década de 1990.\n Esta se caracterizó por una cultura política autoritaria basada en la supremacía blanca, la cual aseguraba la dominación política sobre África, social y económicamente, por las minorías de población blanca.\n Tomar esta decisión nos dará beneficios con las potencias europeas pero provocará la rebeldía de nuestra gente.;;;;;;;;x
finish_the_apart_title;End the Apartheid;;;;Terminar el Apartheid;;;;;;;;x
finish_the_apart_desc;Between 1987 and 1993, the National Party entered into bilateral negotiations with the African National Congress, the leading anti-apartheid political movement, for ending segregation and introducing majority rule.\n In 1990, prominent ANC figures such as Nelson Mandela were released from prison. Apartheid legislation was repealed on 17 June 1991, pending multiracial elections held under a universal suffrage set for April 1994.;;;;Entre 1987 y 1993, el Partido Nacional entró en negociaciones bilaterales con el Congreso Nacional Africano, lideradas por un movimiento político anti-apartheid, para finalizar la segregación y la introducción de reglas.\n En 1990, prominentes figuras del ANC como Nelson Mandela fueron liberado de prisión. El aparthied fue retirado el 17 de Junio de 1991, y se realizaron elecciones multi-raciales bajo sufragio universal en Abril de 1994.;;;;;;;;x
caucasus_rivalries_title;Caucasus rivalries;;;;Rivalidades del Cáucaso;;;;;;;;x
caucasus_rivalries_desc;With our constant rise we believe that it is time to expand our borders and influence throughout the Caucasus region.;;;;Con nuestro constante ascenso creemos que es hora de expandir nuestras fronteras e influencia a través de la región del Cáucaso.;;;;;;;;x
black_sea_ruler_title;Black Sea ruler;;;;Dueños del Mar Negro;;;;;;;;x
black_sea_ruler_desc;Our new navy and naval ports have given us a large area of control throughout the Black Sea, the rest of the Powers know it.;;;;Nuestra nueva marina y puertos navales nos han dado un enorme control por todo el Mar negro y el resto de potencias lo saben.;;;;;;;;x
anti_persia_league_title;Anti-Persia League;;;;Liga Anti-Persa;;;;;;;;x
anti_persia_league_desc;For centuries the Persian Empire has expanded throughout the region, its power is unmatched and rivals the Ottoman Empire to define who has control of the Middle East, but with the current support of the Russian Empire, we can face the Persian threat.;;;;Por siglos el Imperio Persa se ha expandido a través de la región, su poder es inigualable y rivaliza con el Imperio otomano para definir quién controla el medio oriente, pero con el actual soporte del Imperio Ruso, nosotros podemos enfrentar la amenaza Persa.;;;;;;;;x
regional_competition_title;Regional competition;;;;Competencia regional;;;;;;;;x
regional_competition_desc;The Middle East region has always been a zone of tension between the kingdoms of the region, all with similar military power, the nation that will take control of the region will be the one that gains an advantage over the rest.;;;;La región de medio oriente siempre ha sido una zona de tensión entre las naciones locales, todas con poder militar semejante y la nación que obtenga el control de la región será la que obtenga alguna ventaja sobre el resto.;;;;;;;;x
mid_east_culture_title;Middle East culture;;;;Cultura del medio oriente;;;;;;;;x
mid_east_culture_desc;Our cultures are among the oldest of humanity, forgetting them would be a fatal mistake for the future of our nation.;;;;Nuestras culturas son las más antiguas de la humanidad, olvidarlas sería un error fatal para el futuro de la nación.;;;;;;;;x
ancient_empire_legacy_title;Ancient Persian Empire legacy;;;;Legado del antiguo Imperio Persa;;;;;;;;x
ancient_empire_legacy_desc;Darius the Great, the fourth king of the Achaemenid Empire, ruled over the Persian Empire when it was at its largest, stretching from The Caucasus and West Asia to what was then Macedonia, the Black Sea, Central Asia, and even into Africa including parts of Libya and Egypt.\n It is our turn to create a Persian empire as great and legendary as that of ancient times and for that we must extend our borders towards Europe.;;;;Darío el Grande, el cuarto rey del Imperio aqueménida, gobernó el Imperio persa cuando estaba en su mayor tamaño, que se extendía desde el Cáucaso y Asia occidental hasta lo que entonces era Macedonia, el Mar Negro, Asia Central e incluso África, incluidas partes. de Libia y Egipto.\n Es nuestro turno de crear un imperio persa tan grande y legendario como el de la antigüedad y para ello debemos extender nuestras fronteras hacia Europa.;;;;;;;;x
the_promised_land_title;The Promised Land;;;;La Tierra Prometida;;;;;;;;x
the_promised_land_desc;The Land of Israel, also known as the Holy Land or Palestine, is the birthplace of the Jewish people, the place where the final form of the Hebrew Bible is thought to have been compiled, and the birthplace of Judaism.\n During World War I, the British government publicly committed to create a Jewish National Home and was granted a Mandate to rule Palestine by the League of Nations for this purpose.;;;;La Tierra de Israel, también conocida como Tierra Santa o Palestina, es el lugar de nacimiento del pueblo judío, el lugar donde se cree que se compiló la forma final de la Biblia hebrea y el lugar de nacimiento del judaísmo.\n Durante la Primera Guerra Mundial, el gobierno británico se comprometió públicamente a crear un Hogar Nacional Judío y la Liga de Naciones nos concedió el Mandato de gobernar Palestina para este propósito.;;;;;;;;x
islam_menace_title;Islamic menace;;;;Amenaza islamica;;;;;;;;x
islam_menace_desc;The rival Arab nationalism also claimed rights over the former Ottoman territories and sought to prevent Jewish migration into Palestine, leading to growing Arab-Jewish tensions.;;;;El nacionalismo árabe rival también reclamó derechos sobre los antiguos territorios otomanos y trató de
 evitar la migración judía a Palestina, lo que provocó crecientes tensiones entre árabes y judíos.;;;;;;;;x
the_cradle_of_judaism_title;The Cradle of Judaism;;;;La Cuna del Judaísmo;;;;;;;;x
the_cradle_of_judaism_desc;The holy bible has dictated that our creator God has given us the land of Israel to establish our promised city and that it is there where the people of Jesus must live.;;;;La santa Biblia ha dictado que nuestro Dios creador nos ha dado la tierra de Israel para establecer nuestra ciudad prometida y que es allí donde debe vivir el pueblo de Jesús.;;;;;;;;x
update_the_hammurabi_code_title;Update the Code of Hammurabi;;;;Actualizar el Codigo de hammurabi;;;;;;;;x
update_the_hammurabi_code_desc;The Code of Hammurabi is a Babylonian code of laws of ancient Mesopotamia. It is one of the oldest deciphered writings of significant length in the world. The sixth Babylonian king, Hammurabi, enacted the code.;;;;El Código de Hammurabi es un código de leyes babilónico de la antigua Mesopotamia. Es uno de los escritos descifrados más antiguos y de considerable extensión del mundo. El sexto rey de Babilonia, Hammurabi, promulgó el código.;;;;;;;;x
restore_babylon_ruins_title;Restore the Babylonian ruins;;;;Restaurar las Ruinas de Babilonia;;;;;;;;x
restore_babylon_ruins_desc;The legendary city of Babylon lies in ruins in the vicinity of our capital, some restoration work has been carried out but they are not of great importance, the best option is to use current technology to recreate the entire city, and although the cost is high, give it back the glory it has always deserved.;;;;La legendaria ciudad de Babilonia se encuentra en ruinas en las cercanías de nuestra capital, se han realizado algunos trabajos de restauración pero no son de gran importancia, la mejor opción es utilizar la tecnología actual para recrear toda la ciudad, y aunque el costo es alto , devuélvele la gloria que siempre se ha merecido.;;;;;;;;x
complete_babylon_tower_title;Complete the Babylon Tower;;;;Completar la Torre de Babilonia;;;;;;;;x
complete_babylon_tower_desc;The construction of the tower continues to advance but the final section requires better technology and more investment, we cannot stop now, the tower that will make us reach the skies is almost complete, and once done, we will be able to achieve the dream of our ancestors and eliminate the gap between men and gods.;;;;La construcción de la torre sigue avanzando pero el tramo final requiere mejor tecnología y más inversión, no podemos detenernos ahora, la torre que nos hará llegar a los cielos está casi terminada, y una vez hecho esto, podremos lograr el sueño de nuestros antepasados y eliminar la brecha entre hombres y dioses.;;;;;;;;x
hong_kong_reconquest_title;Hong Kong reconquest;;;;Reconquista de Hong Kong;;;;;;;;x
hong_kong_reconquest_desc;After years of humiliation by world and western powers, our development has turned us into a Great Power, therefore we decree that China will regain its prestige and honor, and as a first step, we will reclaim the city of Hong Kong from the hands of those western barbarians.;;;;Despues de años de humillación por parte de las potencias mundiales y occidentales, nuestro desarrollo nos ha convertido en Gran Poder, por lo tanto, decretamos que China recuperará su prestigio y su honor, y, como primer paso, recuperaremos la ciudad de Hong Kong de las manos de esos barbaros occidentales.;;;;;;;;x
alliance_israelite_universelle_title;Alliance Israelite Universelle;Alliance Israelite Universelle;Alliance Israelite Universelle;;Alliance Israelite Universelle;;;;;;;;x
alliance_israelite_universelle_desc;In 1860, Alliance Israelite Universelle embarked on a 'mission civilisatrice' to advance the jews of the Middle East through French education and culture.\n It was founded in Paris, and opened its first school in Tetouan, Morocco in 1862.\n The original members of the society were Jews, and by far the largest number of its members belong to that faith, but, the association has enjoyed the sympathy and cooperation of many prominent Christians.;;;;En 1860, la Alliance Israelite Universelle se embarcó en una 'misión civilisatrice' para ayudar a los judíos del Medio Oriente a través de la educación y la cultura francesa.\n Fue fundada en París y abrió su primera escuela en Tetuán, Marruecos en 1862.\n Los miembros originales de la sociedad eran judíos, y por mucho, el mayor número de sus miembros pertenecen a esa fe, pero la asociación ha disfrutado de la simpatía y cooperación de muchos cristianos prominentes.;;;;;;;;x
tripoli_start_pack_title;Tripolitan recruitment;;;;Reclutamiento Tripolitano;;;;;;;;x
tripoli_start_pack_desc;The war against Ottoman Empire is inevitable, we lack of a strong army, the only way to have a chance to survive is to recruitment our people and pray for the future.;;;;La guerra contra el Imperio Otomano es inevitable, carecemos de un ejército fuerte, la única forma de tener la oportunidad de sobrevivir es reclutar a nuestra gente y orar por el futuro.;;;;;;;;x
land_of_liberty_title;Land of Liberty;;;;Tierra de libertad;;;;;;;;x
land_of_liberty_desc;As a free nation and as free people, we must guarantee the rights of our population and our culture, open up migration and allow unfree black people from the rest of the world to come to our nation and find their freedom.;;;;Como nación libre y como pueblo libre, debemos garantizar los derechos de nuestra población y nuestra cultura, abrir la migración y permitir que los negros no libres del resto del mundo vengan a nuestra nación y encuentren su libertad.;;;;;;;;x
the_last_hope_title;The Last Hope;;;;La Última Esperanza;;;;;;;;x
the_last_hope_desc;Confederates are losing the war and needs all help they can, but there is a final hope, telling the world about the war crimes comited by USA.\n To make stronger our plan, we need all the money saved by the farmers and their supplies, this is going to make people angry, but there's no other option.;;;;Los confederados están perdiendo la guerra y necesitan toda la ayuda que puedan, pero hay una esperanza final, contarle al mundo sobre los crímenes de guerra cometidos por EE. UU.\n Para fortalecer nuestro plan, necesitamos todo el dinero guardado por los agricultores y sus suministros, esto va a molestar a la gente, pero no hay otra opción.;;;;;;;;x
confederated_conscription_system_title;The Confederate Conscription Acts;;;;Acta de Conscripción Confederada;;;;;;;;x
confederated_conscription_system_desc;The Confederate Conscription Acts were a series of measures taken by the Confederate government to produce the manpower to fight the American Civil War.\n The First Conscription Act, passed April 26, 1862, made any white male between 18 to 35 years old liable to three years of military service.\n On September 27, 1862, the Second extended the age limit to 45 years.\n The Third, passed February 17, 1864, changed this to 17 to 50 years old, for service of an unlimited period.;;;;El Acta de Conscripción Confederada fue una serie de medidas tomadas por el gobierno Confederado para producir la mano de obra necesaria para luchar en la Guerra Civil Estadounidense.\n La Primera Ley de Conscripción, aprobada el 26 de abril de 1862, hizo que cualquier hombre blanco entre 18 y 35 años deba hacer tres años de servicio militar.\n El 27 de septiembre de 1862, la segunda acta amplió el límite de edad a 45 años.\n La tercera, pasado el 17 de febrero de 1864, lo cambió a cualquiera de entre 17 a 50 años deba hacer un período de servicio ilimitado.;;;;;;;;x
congo_seceded_to_leopold_title;Congo granted to Leopold;;;;El Congo es cedido a Leopoldo;;;;;;;;x
congo_seceded_to_leopold_desc;In 1876, King Leopold II of Belgium, who had founded and controlled the International African Association the same year, invited Henry Morton Stanley to join him in researching and 'civilizing' the continent.\n In 1878, the International Congo Society was also formed, with more economic goals but still closely related to the former society.\n Leopold secretly bought off the foreign investors in the Congo Society, which was turned to imperialistic goals, with the 'African Society' serving primarily as a philanthropic front.;;;;En 1876, el rey Leopoldo II de Bélgica, que había fundado y controlado la Asociación Africana Internacional el mismo año, invitó a Henry Morton Stanley a unirse a él para investigar y 'civilizar' el continente.\n En 1878, también se formó la Sociedad Internacional del Congo, con objetivos más económicos pero aún estrechamente relacionada con la sociedad anterior.\n Leopold compró en secreto a los inversores extranjeros en la Sociedad del Congo, que se convirtió en objetivos imperialistas, con la 'Sociedad Africana' sirviendo principalmente como un frente filantrópico.;;;;;;;;x
belgium_african_conquest_title;Belgium african conquest;;;;Conquista Belga de África;;;;;;;;x
